emotion, text
sadness,How do you just lose jeans?!? I have been unsuccessfully searching for one of my pairs of jeans for like 3 months!! 
neutral," No , it will not be formal at all . It is a fun time . You will love the game show . Please dress casually . Usually there is an over abandon of drinks , so be careful with that . "
disgust,Walking doesn't count as working out. It barely counts as moving. 
neutral, 15 . 
sadness,"My child, unexpectedly started acting in a restless and disturbing way at school.  In addition his performance at school weakened."
sadness,"How did I not realize that I was sitting behind this beautiful ginger man? Oh fuck, he just read my mind and put his hood on. "
neutral, Not very much . Classical music sends me to sleep 
fear,Never let the fear and the thought of failure stop you from reaching for your dreams.  
surprise,"Schellenberg went out , closing the door , feeling totally bewildered . "
fear,My hair stood on end when I saw the bloody scene . 
anger,You about that tonight? RT @PeterJ91: I would spill my leftover chipotle...atleast my dogs got to enjoy it 
fear,Fear when fulfilling my obligations on my first night fatigue duty as a soldier.
disgust,Ew just stepped on a mammoth size snail while trying to walk into my house Not really okay with that uhh yuck 
joy,Curry for dinner tonight 
anger,There is a company that once I leave this company I will NEVER deal with.  
anger,Just bought an album and i got to upload it to my laptop and it doesn't show up the track names -.- xoxo 
anger,So pissed off.  Cant wait till practice so i can let some of this out.
sadness,"Still hoping that life isn't one big fall: from the highest clouds, to the cold, dry ground. "
joy,"So mad that I have to play Coventry and Pilgrim 3 times each this season, and Cumberland 3 times "
surprise,"@maliamorgan just by the way, i ended up getting a 99% on that math test you thought you beat me on...#maybenexttime #lol"
sadness,staging environment. private server. logged in to back-end CMS. opening the front-end in new window... too many connections... WTF? 
surprise,@albertoriental@staelviruskompa@super_ymb@ernpierre@jonathandenard@Jimmyruff97 medam Nan ki abiye pi anfom Nan AP Gen yon #KADO
sadness,BLAAAAAAAAAAAAAAAAAAAAAAAH. A week from yesterday it'll be a year since the second time I met @Justinbieber 
joy,"My Friday night shall be filled with awesomeness 'cause I totally have a life!! Jokes, I'll be editing all night! &#xA;Stay cool tweeters!!"
anger,"May , look at this mess ! You threw waste everywhere . "
joy,When I can see my parents because now I am far from them.
joy,I'd venture to say I'm about halfway through my massive paper. 
surprise,Imma get Qute today make em wish he wasnt even acting that way!! 
surprise,"My brother called... Needs money.. #takenadvantageof when I need something I get shit on, yet everyone turns to me for help. #foff"
joy,Today it's all about gambling regulation. #sarcasm
fear,"I don't death, I #fear the unknown"
anger, I'm going out anyway . Get out of my way . 
joy,Glad I went to the mall early..now I cn b lazy n wait 4 Happy Feet 1 on Sabc2 
joy," Nice meeting you , too . "
sadness,"Wow, just got a quick reminder on why I left dis bit. "
joy,Literally don't know how to do ANY of my math homework... 
fear,Two fierce eyes glared at the terror-stricken sailors . 
joy,I woke up with a  on my face &amp; in my heart saying thank u #god for allowing me to see a  beatfull day like today
anger,"@liamdaisley man, sainsburys has a Christmas playlist. We're going fucking nuts! Who really gives a shit about George Michael etc "
anger,A friend of mine told other people that I was a slattern (because of an occurence that had happened some time ago). When I heard about that I was very angry.
surprise,"Apparently,  updates my Twitter for me with game activity. "
fear,I was on the Inter Rail in Naples alone. After an evening in a restaurant I was going back to the hotel when a prostitute approached me to sell herself. I refused but as I carried on walking I felt that I was being followed by someone.
joy,@ski24_7 I will be waiting for mine next meeting... 
joy,"Science MOCK tomorrow, if I don't get a C I go on foundation. "
fear,"What is it that holds us back? What is it that stops us from reaching our true potential, and forces us to become who we wish to be!? "
fear,For real!!! RT @QTONGUEHER: Factor tweetRT @BeautiiFades This looks disgusting but tastes delicious!!!
sadness,"Watching x factor now, can't believe @drewryniewicz went home, such a talented girl!! "
joy,"Have my schedule for Aero, waiting for Tillys now.   "
fear,Its Only 1 Thing To Fear &amp; Thats Fear Itself...
joy,Word sir!!! RT @drmikemurdock:  ~  Your Depends..On What You Are Willing To Ignore.  #Dad #drMM #fb
joy,the spread gun on Contra moment + Duck Tales after school channel + cleavage = 
surprise,@SummerrMiller i set you up on a blind date 
surprise,"Since Christmas is coming up soon, I think my girlfriend is gonna be in for a treat. ;) #hohoho"
sadness,"The saddest words to me would be inconsolable, devastated, anguished, desolate,cheerless, forlorn, lost, bereaved and undone. "
sadness, It's really there ? This all seems so surreal-like it's all one big nightmare . 
joy,I 'm delighted that you were pleased with the response . 
fear,My grandfather had lung-cancer and was being nursed at home.  I felt fear when I was alone with him and he almost choked on mucus secretions.
sadness,Sheryl say she confused and don't know how to approach me. It sounds like I'm going back to counseling 
anger,Ready to hit the gym 
sadness,"If she had been paying more attention to his face she might have believed that his deeply shocked , anguished expression was not an act , put on for her benefit . "
joy,I met my girlfriend on the way and she joyfully welcomed me on the way home.
fear,"Looking through old Facebook photos, I noticed circa late spring 2009, aka graduation, that my eyes were bugged out.  "
surprise,"Van Spanje tot down under staat een  klaar, gelukkig zonder aldaar. Van te voren alles op een rij dat maakt je toch #blij"
anger,She said : ` Do n't be cross with them . 
surprise,Je commence a sortir mes affaires d'anglais. &quot; Ba Inés qu'est ce que tu fais? On sort a 15h20 ! &quot; J'adore etre a la masse parfois. 
joy," Yes , he does have Richard ’ s eyes . The baby even looks like you than Richard does . "
surprise,Best okee boxjes komt wel een beetje radio-geluid uit.. Maar hij is dan ook €15 
anger,Mr Jones exploded in anger . 
joy,  two 4-7 teams with black QBs who don't belong as starters on primetime 
fear,"The Americans were petrified of Communism , and believed Communists were aiming for world domination , via the ` domino effect "" of one country after another falling to it . "
joy,Just received the great news that I have to close tonight. 
fear,Coming down from a 4.5 day vacation that included Thanksgiving and my birthday. I'm sure I'll sleep REAAAL well tonight. 
sadness,im PHONELESS.... my phone is at the sprint store....sleeping there away from me.... lls
joy,Christmas shopping again today 
sadness,"The holidays come to an end, and the next day we had to go back to University and to the exams."
sadness,"My dog of 16 and 1/2 years - \Lord Grey\"" died in his sleep - His death caused me more and deeper sadness than I thought."""
anger,"Agnes noted with alarm that a pink flush was suffusing Dorothy 's face , a sure sign of temper , and really , thought her loyal assistant , she had every right to be cross under the circumstances . "
sadness,After receiving the grade on the paper mentioned in FEAR.
sadness,Crazy smh RT @RatherHaveJesus: Some really think that Chris Brown is God.   
anger,LMAO management explode in my pants..turned her on haha
anger,Somebody took my wristwatch and promised to have it mended and later was telling me that he couldn't give it back to me because I was rude at a certain time.
anger,They 're also pretty peeved at what they see as the Ministry of Agriculture 's failure to represent their interests adequately in Brussels . 
surprise,Diubah jadi senen RT @fidamuthia: Jeng jeng! Masih pemulihan mental pasca SEAG udh dpt kabar seminar proposal hari Rabu.
anger,"To Meryl 's vexation , the boundary wall proved to be nearly eight feet high . "
fear,odio esa sensación de muerte inminente en un examen final 
joy,Have a GREAT DAY tweeps!!! Love y'all and live w/ the of Christ today!!!
joy,going to the high school... planning on vomitting during the parade. #gross
joy,Such a blessing to see your brothers in Christ working tirelessly for the Kingdom of God.  
joy,"All during the night , over and over again , she had found it absurd that she 'd ever considered herself a happy woman . "
anger,"But his initial anger at finding the latest two victims of the insane killer 's bloodlust , blazed into an all-consuming hatred of the man who had done it . "
fear,Man I think it was dope as hell to see Suh Smash that dudes head into the ground a few times and Curb stomp him show enough the #SUH
sadness,In school and want something to eat very badly! 
neutral," Yes , sir . "
fear,How nervous the teacher feels about using this teaching unit . 
sadness,@BiebersLov anywaaaays robert got offff here so this means he prob won't follow bc aloooot of ppl will tweet him): 
surprise,Can't wait for black Friday. Buying myself birthday gifts 
fear,Obscene phone call where the person knew my name.
fear,Gleich muss ich als Volti Papa auch aufs Pferd und turnen. #fail #fuck
surprise,@holly_berry10 i chilled down a dirt road last night #exboyfriendprobz #heowesmeacarwash
joy,Finished work now going home to get ready for dance exam show tomorrow! 
neutral, Not a bit . 
anger, kidding. I made that mistake and now realize you'll never change. 
sadness,"My sister, whom I like very much, asked me for a favour which I refused her for some flimsy reason. Some time later I felt sorry for that and something like sadness."
anger,She didn't look quite so indignant as she 'd looked before . 
sadness,@AustinMahone What if i never get to meet you? then i'll just be heartbroken for life ;o OH MY. 
joy," So , want me to book the tickets again ? "
joy,When I'm upset I get on youtube and watch Chris browns take you down video a thousand times 
fear,"Christians have the of running out, but don't have the #faith in running over. #overflow."
neutral, Are you sick ? 
joy,"I was feeling really low - had been a series of fights with my siblings, been under pressure at school and wasn't going to the party I wanted to go - instead I was going out with my family. A guy called and said, in effect, that I was \nice\"" and he liked me. Hence the emotional joy."""
sadness,No walking dead tonight. 
joy,5 days till cruise with best friend  should probably get started on that homework though...   
anger,"` No , better to limit the damage , control his anger , make nothing of it , pretend he didn't mind . "
surprise,"Wait a minute, ND is on the board? "
fear,Being harrassed for being gay; suggestions of being physically beaten - acting as informal bouncer in a gay bar.
joy,back to real world..and studying. 
fear,Woke up to some out it texts from @kirklands89 this morning. Anyone know his whereabouts last night? Bet he's a para boy today! 
surprise,"HOME!!!! Such a rough trip home, but so worth it!!! "
fear,I had climbed on a cherry tree alone and there was a thick caterpillar beside my fingers. I feel disgusted by caterpillars and snakes. I was terribly afraid of the caterpillar crawling on my fingers. Out of the fear I was almost unable to climb down.
fear,Will love ever come her way? Can a man find his way into her heart? &quot;Afraid Of Love&quot; s     #read #dreams
joy,"When the marchers passed the city 's overhead railway , two trains hooted in solidarity , to the crowd 's delight . "
sadness,DARN YOU SCHOOL I WANTED TO GO TO A CONCERT TODAY!!!!:( 
neutral," I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . "
anger,The RUC men who had conducted the police investigations were fiercely indignant and a senior officer threatened to resign . 
sadness,My parents don't know who Sylvia Plath is. What I have learnt from English Extension is how uncultured my parents are.... 
joy,"A little while ago I was in the bathroom on the floor celebrating the  return, similar to Beatrice Kiddo after she killed Bill "
anger, His face broke out and he said it was my fault ! 
fear,"Why are so many people afraid of so many things, but are rarely afraid of mediocrity? "
joy,Monday's not even over and already my weekend is jam packed!! 
fear,= False Evidence Appearing Real
joy,When I was in the sauna bath.
sadness,"....I be on heavy chill mode, just bobbin my head..then I just pause &amp; search for another song.."
neutral, She's my grandma . 
anger,When my sister came home late one day and thus disobeyed my parents.
fear,"Morning break, cold, wet and windswept, brings a bit of excitement to being up on a roof "
joy,Morning So tired :( &amp; I have a full day of lectures! Not to mention the thrill of litter picking and sweeping up of leaves 
fear,@Monsieur_soleil en plus mon mur est visible de friends of a friend. 
anger, You are not in a position to question my vision or my statement ! 
sadness,"@MorganLevesque Kikou jeune poney. Est-ce que tu vois la photo de la fat pipe sur mon compte? Pks moi, non... "
sadness,Man I wish I was back in high school. But only because I miss basketball. #pathetic
joy,"Suddenly , to her relief , the telephone rang , Joanna picked it up , wrote down the message , and came back to the table , looking elated . "
neutral, Good boy ! 
surprise,@BlondeGenious My phone died last night! I tried texting anyway lol Can't wait for tonight! 
neutral, Excuse me ? 
disgust,the awkward moment when an 'ex' calls u 'sis' WTF? Don't even go there fool! 
anger,"Darling Bob , do n't be cross if I have n't got it right , but is it one of your beloved American writers ? "
joy,Adventures at work: the ceiling panel directly above where I sit leaks. Yay. They ghetto fixed it for me.... 
neutral, It depends . 
joy, It seems you two are a good match . What qualities do you look for in a friend ? 
anger,"My girlfriend one day went out and promised to be back at 6.00 pm however she first arrived at 10.00 pm, without a message (we had to go out that evening)."
joy, Would you like to have lunch with me ? 
surprise,@Nichole_anders mayyybsss... But you wont know if i am or not because its going to be your surprise birthday party 
joy,Writing all those papers I was supposed to write last week. 
neutral, Fine ! 
joy," Oh , I like it . It's such a beautiful dance , but I can't do it well . What about you ? "
fear,Then she felt horror and pity at seeing Marcus so confused and so evidently useless . 
disgust,"“@BarackObama: Tonight, Senate Republicans voted to raise taxes on millions of working Americans&quot; speaking of ridiculous this is"
sadness,I had a dream last night and its been the fifth time i had it and every time i have i loose sumeone close to me hope everyone ok
surprise,"We sign around 4,000 new businesses every day. About 60% of the top 100 universities in the US are on   "
anger,"In fact , now you come to mention it , I 'm a little bit peeved with her . "
anger,I am separated from my husband.  The way he has behaved towards me makes me angry.
joy,The electron is first of all your concept of the electron. by T. Nhat Hanh 
joy,"On top of having bronchitis and a sinus infection, I just burnt my hand lighting my candle. "
fear,During labour when the foetal sounds became faint and there was a big alert for a forceps delivery.
sadness,"He looked up , his lugubrious face pale , and Athelstan saw it was tear-stained . "
joy,Mrs. Bowers comes back tomorrow. 
joy,I love chocolate milk 
sadness," Yeah , but that's not why I am upset . I just found out another guy got a promotion . He doesn't know how to do anything . He sits there and kisses the managers butt all day long . "
fear,Aller chez une  ce week-end en ayant les ongles rongés et croutés... 
joy,"Last year my freshman yr. It was a day in March I did well on some tests. I seemed to finally adjust to college, it was hot and sunny. I was walking in front of a frat. when I heard Beach Boys Surfing USA. I had this overwhelming feeling that to be at CAL was good. I still have it somewhat."
joy,I 'm delighted that you were pleased with the response . 
sadness,I lost a close friend.
fear,Sumtymz I feel like I have no true frndz!... I'm putting my guard up n keepin it thr!!** no1 but god
surprise,Leaving tomorrow. A day earlier than expected. Oh well! #goodholidayanyway
sadness,@Drewsdays so he's leaving straight from his bros and I don't wanna risk taking mah car. =( 
neutral," No , I listen to background music . "
joy,Yay I get to put up with all the cute couples in my family for the holidays #not
surprise,Lots of nice things today but meeting an old colleague in my new place of work was tops :)
fear,"One itemised phone bill to Bedworth 's horrified mother ran to 34 pages of listed calls , the jury heard . "
joy,"My sister in law was about to have a child, and there were some problems.  They had to do a Caesarean.  After a while, everything  was all right."
joy,Agnes watched with amusement as his interest quickened or faded with each phrase . 
sadness, I ’ Ve got some bad news . All the plans sent over to the McGrath Corporation have been rejected . We ’ re going to have to start from scratch . 
neutral, Why doesn't he ask her ? 
surprise,@loveandxcstasy Duely noted my dear friend! Give us a head's up the next time you want to drop in! 
anger,"krave is a disgusting cereal, the advert lies there is not chocolate in the middle "
joy,Jsenbewns test in like every class tomorrow 
anger,Better watch ya back think I won't fight for what I care bout got another thing coming 
anger,When I was at S.Y. Bajaj I wanted to get admission in another college and this was not easy and I felt angry. 
fear,Fun game session playing with @G_teckbangin and my little bro. Got scared hella times haha!
neutral, I am . 
joy,Perfect day to forget my umbrella 
joy,"Yaay , danish and afrina is coming today :D "
anger,#quote A man is about as big as the things that make him angry.
fear,"se um dia eu disser q &quot;não te amo&quot;, é q eu te mo ainda mais! Se um dia eu disser q &quot;não te quero&quot; , é que eu te quero ainda mais!... "
joy,"@paulkclews very true, and it's only going to get worse tomorrow! "
sadness,"Finding out that China is poor, so we cannot have good reference books."
joy,&quot;Life loves to be taken by the lapel and told: 'I'm with you kid. Let's go.'&quot; – Maya Angelou #happiness
fear,One horrified look told him that Daisy had already sunk to her pasterns . 
anger, It ’ s simply because the tins were damaged . 
surprise,@DRIZZLE_1000 Thats the surprise. Due to a change in plans.. There's a girl left! 
joy,Tripped in the attendance office at killian an my shoe broke 
fear,@stacy_814 @Meve_Stason @SirChadlyOC Everyone respects Grapes because he's batshit insane. Maybe Mase is channeling Hextall. 
joy,@Charley85 he has chked the opening times for morrisons petrol station tomrrow - 09:45 we will be at the start of the queue for 6p off 
joy,A quarrel was followed by the decision of leaving a person close to me. Several days later my regret was great. I was beside myself. Quite unexpectedly he came and the conflict was calmly solved. I was glad at the possibility to be with him.
sadness,Kurzlinger hated Voss for what he had done and the man 's grief for his murdered love was not to be underestimated . 
neutral, Again ! 
fear,I'll get my result of high school. 
fear,"Nevertheless , Maeve 's sharp eyes had missed nothing ; her husband looked exhausted , troubled , and now she felt agitated . "
fear,"miss geng-2 clan , bila la aku bole join korang ? :/"
joy,Guy 's mouth kicked up at one corner in a wryly amused smile . 
anger,"My parents thought that I didn't do my best to pass the final examination (secondary school). When I achieved a good grade they said nothing, but if I had had a bad grade they would have become very angry."
sadness," Oh . I enjoy watching boxing on television , too.What a pity I missed it last night ! "
surprise,The gift that keeps on givin for like a week RT @SpecialBlend But i really just got him a cold for his birthday :-O 
sadness,"@LoganHfan u cld put me on a list, it seems you follow alot of people, but yeh im sure u will benefit and also RT is universal &lt;3"
surprise,thinking of putting my Christmas icon today. 
surprise,Doing contracting homework for event management with my dad. He actually knows a lot of stuff.  
joy,Black Friday will be the death of me. Working 345 am to 1 pm. #ihatepeople
surprise,That quick moment when you have a surprise for someone and that someone is coming to where you are #jusst_lovee
sadness,@MinniesBoutique where can i buy a pug hoodie? i can't find any on your site:( xx
joy,"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying,  "
joy,I slept in this morning.  Yesterday was so full of awesome I didn't immediately fall asleep my brain kept going though I was exhausted. 
fear,Philophobia; of emotional attachment. Fear of being in or falling in love.
fear,Late one night I was pursued by gipsies who had no good intentions.
joy,"` You will not regret it , "" the cardinal told her , observing the prince 's elation and guessing its cause . "
neutral, Yes . 
joy,When I won a tennis match.
sadness,Disney memories are pulling at my heart strings and controlling my emotions tonight #magicalexperience
disgust,This bus smell like straight FISH !! 
sadness,"So sad for ANYONE who is allergic to nutella ... 'cuz of the nut, right, @SeecaSays? #bendito : ("
joy,"Unsubscribed from 2 daily newsletters that I NEVER open, inbox feels lighter already #itsthelittlethings"
fear,"I feel dreadful, though not as dreadful as my married colleague who spent the evening rubbing the crotches of men in the office.  "
sadness,"I felt quite depressed about it . "" "
joy, to be heading to Cape Town 2day! Is it just me or is that in the air? :D #illoveairports
surprise,Thought I saw the best of guys who need anger management. 
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;"
sadness,"i hate the song FA LA LA :DD i don't want to hear that anymore, sorry beliebers i don't really like the song when i heard it .. "
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the steps outside her parents home and I kissed her for the first time."
sadness," I apologize , and I'll make sure he doesn't do that again . "
fear,It's hard when you something you have to do! Just because you don't feel like you're ready... Am I ready to #JUMP???
anger,That moment when u done clean your house and look around its just not clean enough grrrrrr 
joy,yaaaaaay! All trains on northern line are kaaaaaaak late. 
joy,The elation of witnessing birth may be followed by a sense of disorientation at being a displaced person . 
fear,@Sniperovitch @dune_douce pour le lol j'ai eu un client ou un interlocuteur portait ce nom... 
joy,&quot;People need joy quite as much as clothing...some need it far more.&quot; Margaret Collier Graham  
joy,The only pair of clean socks at my house was high pink and yellow sparkley argyle socks..And i have gym today. 
anger,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon "
surprise,@torriea9 by the way I have a for you nothing big but I figure you could add it to the collection
joy,Wishes my iPhone was also a remote control 
joy,video calling soon with le san siva for le @audizzlez #cockblock #iloveme #ineedanightfriendthingtotalktoorlikeaboyorsome #sadlife LOL!
surprise,"@piilani99z Hi there! Great 2 hear from U!  R here &amp; I'm  as well. I have a for U &amp; all my friends, stay tuned. xoxo"
surprise,And for my I would like to dedicate my first game to @SaraBurrDaniels  :) happy 3 months
sadness,"@waitinonadoce uhhhh can't i be part of this amazing shabang at yo place? btw, hope your feeling better.. missed you tonight :( "
joy,Ice on my car this morning officially cold enough to get a tree now!
joy,Lost volleyball game to meadowlark 
anger,I am usually angry at myself. This happens often. For instace when I want to pet without falling in love and it soon proves that I have fallen in love with him.
neutral, Okay . 
anger,When I learned that several people had died in the street due to  the cold weather.
anger,Why am I being charged $ 10 for a movie that I never ordered ? 
surprise,Gedicht is af. Toch nog 2 kantjes van weten te maken. Alleen gaat het grootste deel niet over de persoon die ik heb.. 
neutral,"Dad , why are you taping the windows ? "
joy,"Earliest flight ever tomorrow -__- ill be up at about 5 am, "
anger,"When Tony 's father was interviewed he said he felt angry with Tony for having taken the tablets , especially as his girl friend , Pat , had been with him when he found Tony unconscious . "
joy,So much holiday cheer at the Pilchak house right now 
joy,throw your worries to the wind and let them fly to  in the end it is he alone who guides the wind to breeze &amp; #love back to you.
joy,So we 're delighted to bring our conference to support our members in Portsmouth . 
